cif_no,adhar_no,name,dob,street,city,state,pin_code,email_id,phone_no
56934830812,809552462331,A,12-08-2004,,kolar,Karnataka,563101,A.com,9448902923
40292373483,894717985711,B,13-12-2009,,banglore,Karnataka,530068,B.com,9965737819
89792087441,267150354322,C,15-04-2015,,bangarpet,Karnataka,563114,C.com,9406797202
60834848706,256541101355,D,15-08-2006,,hoskote,Karnataka,560067,D.com,9085038247
46483194217,765032929968,E,16-12-2018,,white field,Karnataka,560066,E.com,8982653284
10454633760,764866725768,F,18-04-2001,,mulbagal,Karnataka,563131,F.com,9452581266
32158976048,825248916948,G,20-08-1993,,chintamani,Karnataka,563125,G.com,9065023039
59235122576,933850926071,H,21-12-1985,,KGF,Karnataka,563113,H.com,8972091015
64045853895,513980978155,I,23-04-2008,,kolar,Karnataka,563101,I.com,8879158991
56452743066,622342126497,J,25-08-2000,,banglore,Karnataka,530068,J.com,8786226967
20767137476,636878627310,K,26-12-1992,,bangarpet,Karnataka,563114,K.com,8693294942
73550449821,346910049357,L,18-04-2001,,hoskote,Karnataka,560067,L.com,8600362918
47919240604,253599419591,M,16-12-2018,,white field,Karnataka,560066,M.com,8507430894
19408875404,524567327238,N,18-04-2001,,mulbagal,Karnataka,563131,N.com,8414498870
45393149474,944692631722,O,16-12-2018,,chintamani,Karnataka,563125,O.com,8321566846
16513697743,802692419955,P,18-04-2001,,KGF,Karnataka,563113,P.com,8228634822
45359306641,669201763308,Q,16-12-2018,,kolar,Karnataka,563101,Q.com,8135702798
51594762118,909572465487,R,18-04-2001,,banglore,Karnataka,530068,R.com,8042770773
16462929575,287070198686,S,16-12-2018,,bangarpet,Karnataka,563114,S.com,7949838749
